__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__贴片高精密-低温漂电阻 , 	ar03btcx5101 贴型 5.1 k 5.1 k ω 5101 1 10w ± 0.1% 贴型 0603
__label__云母电容 , 	cdv19ff101jo3f 338 3132 nd cap mica 100pf 5% 1kv radial
__label__功率电感 , 	smdrh105r 471mt 贴片 功率 电感 470uh ± 20% 105r sxn
__label__直插瓷片电容 , 	ct81 m7y5v1b332mse 5 ± 20% 3.3 nf 2kv 2kv 3.3 nf 332 through hole fenghua
__label__功率电感 , 	vls252012hbx 1r5m 1 固定 电感器 1.5 uh 3.1 a 82mohms power circuits
__label__采样电阻 , 	ebws3920f2l00k9l 功率 合金 采样 电阻 2m ω 5w ± 1% 3920 resistortoday 开步
__label__PTC热敏电阻 , 	b59641a0125a062 495 4307 6 nd thermistor ptc 470 ohm 50% 0603
__label__压敏电阻 , 	v24za50p 压敏 电阻 14v 2ka 18000pf
__label__功率电感 , 	ydrh104r 560m 1.3 a 56uh ± 20% smd 10.1 x10.1 x3.8 mm yjycoin 益嘉源
__label__线对板线对线连接器 , 	连接线 3p 两端 带 座子 xhb 3p 线材 热缩管 套起来 26 红 白线 线长 280mm 同向 热缩 套管 250mm 套管 5.0 mm 125 ℃ 线材 ... 热缩 套管 guangzhou kaiheng material co ltd k 102 1.0 3000.0
__label__贴片高精密-低温漂电阻 , 	ar03btcx3301 1 10w ± 25ppm 3.3 k ω 3301 贴型 贴型 ± 0.1% ± 25ppm ℃ 3.3 k 0603
__label__功率电感 , 	lcf1008 3r9j t ± 5% 3.9 uh smd 2.9 x2.54 mm emtek 兆欣
__label__贴片电阻 , 	110101501519x cd 贴片 电阻 chip res . 1206 0 ω 1 6w 士 5% 15000
__label__绕线电阻 , 	resistors wire wound t301209 knp02sj033kaa0 0r33 2w 5% knp s wirewound resistor royal ohm 450
__label__压敏电阻 , 	v85mla1210h 压敏 电阻 85v 250a 260pf
__label__电容器阵列与网络 , 	电容器 阵列 网络 ckcl44jb1c223m085aa ckcl44jb1c223m085aa 电容器 阵列 网络 0805 16v 0.022 uf jb 20% 4 n 1
__label__云母电容 , 	capacitor 390 pf silver mica radial lead rm 214 21 many
__label__功率电感 , 	smdri74 101mt 贴片 功率 电感 100uh ± 20% 74 sxn
__label__贴片高精密-低温漂电阻 , 	ar03ftc1100 ± 1% 贴型 1 16w 110 贴型 25ppm 110 ω 1100 0603
__label__贴片高精密-低温漂电阻 , 	tr0402f560rq1050 ± 1% ± 50ppm ℃ 560 ω 560r 贴型 50ppm 贴型 薄膜 电阻 560 63mw 0402 ever ohms 天二
__label__氧化铌电容 , 	nose227m006r0100 nose227m006r0100 nd cap niob oxi 220 uf 20% 6.3 v 2917
__label__直插瓷片电容 , 	rde7u3a222j3k1h03b 陶瓷 电容器 mlcc 引线
